	year	joined_carrier_name	joined_carrier	arr_del15	carrier_ct	late_aircraft_ct	carrier_delay_percentage	carrier_late_aircraft_ct	total_carrier_delay_percentage
71	2009	Delta Air Lines Inc.	DL	144576.0	36800.77999999994	33949.400000000016	0.2545428010181492	8641.575368885558	0.3143146536692501
72	2010	Delta Air Lines Inc.	DL	149425.0	48296.55999999992	40731.59999999997	0.3232160615693486	13165.107333418071	0.411321180079759
73	2011	Delta Air Lines Inc.	DL	118041.0	35164.669999999955	33903.61999999997	0.29790216958514376	10099.961954790264	0.3834653379316527
74	2012	Delta Air Lines Inc.	DL	92829.0	28609.379999999994	27190.429999999986	0.30819442200174507	8379.938857828905	0.3984672770128828
75	2013	Delta Air Lines Inc.	DL	113157.0	37631.639999999985	30466.98999999995	0.3325613086243006	10132.142064243464	0.4221018767221069
76	2014	Delta Air Lines Inc.	DL	122489.0	39443.06000000006	33371.86000000004	0.3220130787254371	10746.175381394278	0.4097448373437153
77	2015	Delta Air Lines Inc.	DL	118023.0	38540.259999999995	33475.67000000003	0.32654872355388354	10931.43730861104	0.41916996948570223
78	2016	Delta Air Lines Inc.	DL	56812.0	18815.680000000004	16555.78000000001	0.3311920016897839	5483.141917735694	0.42770580014320386
80	2014	Envoy Air	MQ	75347.0	17072.819999999985	27328.18999999998	0.2265892470834935	6192.273996254652	0.3087726650862627
81	2015	Envoy Air	MQ	60547.0	15826.830000000009	21655.65	0.26139742679240935	5660.73118551704	0.354890600451171
82	2006	ExpressJet Airlines Inc.	EV	53602.0	8871.979999999996	18157.12000000001	0.1655158389612327	3005.290949919779	0.22158260792358075
83	2007	ExpressJet Airlines Inc.	EV	101558.0	20238.05999999999	36342.740000000034	0.19927588176214567	7242.231559152408	0.27058716752153844
84	2008	ExpressJet Airlines Inc.	EV	87883.0	19397.579999999998	29134.730000000032	0.22072050339656132	6430.632271922904	0.29389315649127706
85	2009	ExpressJet Airlines Inc.	EV	59558.0	11554.93999999999	15946.960000000003	0.1940115517646662	3093.894455529062	0.24595913992291635
86	2010	ExpressJet Airlines Inc.	EV	76419.0	17615.97	25992.959999999992	0.23051819573666235	5991.850241055233	0.30892605557590697
87	2011	ExpressJet Airlines Inc.	EV	89303.0	24633.01	34623.18000000003	0.27583631009036647	9550.330214794583	0.38277930433238055
88	2012	ExpressJet Airlines Inc.	EV	154116.0	46406.22999999997	66487.46000000002	0.3011123439487137	20020.194923796353	0.4310157603610029
89	2013	ExpressJet Airlines Inc.	EV	180484.0	47014.24	77906.64000000013	0.2604897941091731	20293.884613337505	0.37293125492197376
90	2014	ExpressJet Airlines Inc.	EV	164412.0	45005.20000000009	67128.59000000001	0.2737342773033604	18375.39607004359	0.38549860150137266
91	2015	ExpressJet Airlines Inc.	EV	109184.0	31088.409999999967	40022.66000000002	0.2847341185521685	11395.816817213137	0.3891067081002079
92	2016	ExpressJet Airlines Inc.	EV	39574.0	12003.139999999992	14034.59	0.3033087380603425	4256.813782094302	0.41087465967792725
152	2003	SkyWest Airlines Inc.	OO	26497.0	14087.0	4337.0	0.5316450918971959	2305.7447635581384	0.618664179475342
153	2004	SkyWest Airlines Inc.	OO	69597.0	35773.0	14001.0	0.5140020403178298	7196.542566489935	0.6174050974394002
154	2005	SkyWest Airlines Inc.	OO	80313.0	47568.0	14567.0	0.592282693959882	8627.7820029136	0.6997096609878052
155	2006	SkyWest Airlines Inc.	OO	113760.0	61937.0	34263.0	0.54445323488045	18654.60118670886	0.7084353128226869
156	2007	SkyWest Airlines Inc.	OO	130405.0	66561.0	45825.0	0.5104175453395192	23389.884015183467	0.6897809440986423
157	2008	SkyWest Airlines Inc.	OO	105245.0	31848.770000000015	39787.78999999998	0.3026155161765406	12040.402608373794	0.41701907557008705
158	2009	SkyWest Airlines Inc.	OO	88827.0	17698.919999999966	39680.58000000008	0.19925157891181697	7906.418217136683	0.28826075649449656
159	2010	SkyWest Airlines Inc.	OO	111931.0	23702.65000000002	52067.68000000003	0.21176126363563283	11025.917711375772	0.3102676444539564
160	2011	SkyWest Airlines Inc.	OO	107213.0	23279.750000000047	50272.9000000001	0.21713551528266206	10916.032046253764	0.3189518253034036
161	2012	SkyWest Airlines Inc.	OO	101231.0	23360.64	47838.53000000004	0.23076567454633462	11039.490644755075	0.3398181450815963
162	2013	SkyWest Airlines Inc.	OO	111864.0	26081.310000000023	51604.13999999997	0.2331519523707361	12031.60599141279	0.3407076091630266
163	2014	SkyWest Airlines Inc.	OO	125024.0	29934.240000000023	56593.31000000001	0.23942794983363214	13550.020187599195	0.347807302498714
164	2015	SkyWest Airlines Inc.	OO	107795.0	27269.03999999995	45428.109999999935	0.2529712880931393	11492.007502336806	0.35958112623346866
165	2016	SkyWest Airlines Inc.	OO	47307.0	11918.569999999998	19201.170000000013	0.2519409389730906	4837.560799181942	0.3541998181914292
166	2003	Southwest Airlines Co.	WN	92552.0	19637.370000000017	47368.59999999995	0.2121766142276776	10050.509168705159	0.3207697204674689
167	2004	Southwest Airlines Co.	WN	219458.0	46416.78000000008	118908.86	0.2115064385896166	25149.989495351318	0.32610690653952645
168	2005	Southwest Airlines Co.	WN	242178.0	53901.52000000008	128121.83999999991	0.22256984532038449	28516.05811096303	0.34031818790708945
169	2006	Southwest Airlines Co.	WN	264482.0	59823.39000000005	141726.97	0.2261907804689924	32057.333957805473	0.34739877934152613
170	2007	Southwest Airlines Co.	WN	278176.0	63128.85999999995	147812.1999999999	0.2269385568848497	33544.28735797476	0.34752511847885764
171	2008	Southwest Airlines Co.	WN	277680.0	60578.910000000054	146613.09000000023	0.21816086862575645	31985.239066306258	0.3333482752315843
